name L N N_p dt T num_threads total_time ave_time
ppm_omp 100 256 12800 0.1 10 7 0.00870204 0.000870204
ppm_omp 100 256 800 0.1 10 8 0.00667095 0.000667095
ppm_omp 100 256 1600 0.1 10 8 0.00673699 0.000673699
ppm_omp 100 256 3200 0.1 10 8 0.00685501 0.000685501
ppm_omp 100 256 6400 0.1 10 8 0.0076251 0.00076251
ppm_omp 100 256 12800 0.1 10 8 0.0088501 0.00088501
ppm_omp 100 256 800 0.1 10 12 0.00696182 0.000696182
ppm_omp 100 256 1600 0.1 10 12 0.00728106 0.000728106
ppm_omp 100 256 3200 0.1 10 12 0.00728893 0.000728893
ppm_omp 100 256 6400 0.1 10 12 0.00802708 0.000802708
ppm_omp 100 256 12800 0.1 10 12 0.00931478 0.000931478
ppm_omp 100 256 800 0.1 10 16 0.0072391 0.00072391
ppm_omp 100 256 1600 0.1 10 16 0.00745583 0.000745583
ppm_omp 100 256 3200 0.1 10 16 0.00766087 0.000766087
ppm_omp 100 256 6400 0.1 10 16 0.00812101 0.000812101
ppm_omp 100 256 12800 0.1 10 16 0.00939608 0.000939608
ppm_omp 100 256 800 0.1 10 20 0.00806904 0.000806904
ppm_omp 100 256 1600 0.1 10 20 0.00909495 0.000909495
ppm_omp 100 256 3200 0.1 10 20 0.00809598 0.000809598
ppm_omp 100 256 6400 0.1 10 20 0.00888109 0.000888109
ppm_omp 100 256 12800 0.1 10 20 0.0103641 0.00103641
ppm_omp 100 256 800 0.1 10 24 0.008111 0.0008111
ppm_omp 100 256 1600 0.1 10 24 0.00826597 0.000826597
ppm_omp 100 256 3200 0.1 10 24 0.00843692 0.000843692
ppm_omp 100 256 6400 0.1 10 24 0.0101211 0.00101211
ppm_omp 100 256 12800 0.1 10 24 0.010792 0.0010792
ppm_omp 100 512 800 0.1 10 1 0.0391171 0.00391171
ppm_omp 100 512 1600 0.1 10 1 0.0390308 0.00390308
ppm_omp 100 512 3200 0.1 10 1 0.0399411 0.00399411
ppm_omp 100 512 6400 0.1 10 1 0.039891 0.0039891
ppm_omp 100 512 12800 0.1 10 1 0.0411699 0.00411699
ppm_omp 100 512 800 0.1 10 2 0.039187 0.0039187
ppm_omp 100 512 1600 0.1 10 2 0.038898 0.0038898
ppm_omp 100 512 3200 0.1 10 2 0.038928 0.0038928
ppm_omp 100 512 6400 0.1 10 2 0.039649 0.0039649
ppm_omp 100 512 12800 0.1 10 2 0.0426829 0.00426829
ppm_omp 100 512 800 0.1 10 3 0.0301511 0.00301511
ppm_omp 100 512 1600 0.1 10 3 0.031256 0.0031256
ppm_omp 100 512 3200 0.1 10 3 0.0329261 0.00329261
ppm_omp 100 512 6400 0.1 10 3 0.03262 0.003262
ppm_omp 100 512 12800 0.1 10 3 0.0309181 0.00309181
ppm_omp 100 512 800 0.1 10 4 0.0269699 0.00269699
ppm_omp 100 512 1600 0.1 10 4 0.0276718 0.00276718
ppm_omp 100 512 3200 0.1 10 4 0.027422 0.0027422
ppm_omp 100 512 6400 0.1 10 4 0.0277669 0.00277669
ppm_omp 100 512 12800 0.1 10 4 0.0302761 0.00302761
ppm_omp 100 512 800 0.1 10 5 0.026356 0.0026356
ppm_omp 100 512 1600 0.1 10 5 0.025619 0.0025619
ppm_omp 100 512 3200 0.1 10 5 0.026 0.0026
ppm_omp 100 512 6400 0.1 10 5 0.0274651 0.00274651
ppm_omp 100 512 12800 0.1 10 5 0.0275891 0.00275891
ppm_omp 100 512 800 0.1 10 6 0.0266521 0.00266521
ppm_omp 100 512 1600 0.1 10 6 0.0271349 0.00271349
ppm_omp 100 512 3200 0.1 10 6 0.024709 0.0024709
ppm_omp 100 512 6400 0.1 10 6 0.0263481 0.00263481
ppm_omp 100 512 12800 0.1 10 6 0.0281889 0.00281889
ppm_omp 100 512 800 0.1 10 7 0.0237849 0.00237849
ppm_omp 100 512 1600 0.1 10 7 0.0247731 0.00247731
ppm_omp 100 512 3200 0.1 10 7 0.0250962 0.00250962
ppm_omp 100 512 6400 0.1 10 7 0.0269079 0.00269079
ppm_omp 100 512 12800 0.1 10 7 0.0265522 0.00265522
ppm_omp 100 512 800 0.1 10 8 0.0235081 0.00235081
ppm_omp 100 512 1600 0.1 10 8 0.0238721 0.00238721
ppm_omp 100 512 3200 0.1 10 8 0.0248978 0.00248978
ppm_omp 100 512 6400 0.1 10 8 0.024487 0.0024487
ppm_omp 100 512 12800 0.1 10 8 0.027863 0.0027863
ppm_omp 100 512 800 0.1 10 12 0.024106 0.0024106
ppm_omp 100 512 1600 0.1 10 12 0.026155 0.0026155
ppm_omp 100 512 3200 0.1 10 12 0.0241399 0.00241399
ppm_omp 100 512 6400 0.1 10 12 0.025111 0.0025111
ppm_omp 100 512 12800 0.1 10 12 0.025152 0.0025152
ppm_omp 100 512 800 0.1 10 16 0.0264621 0.00264621
ppm_omp 100 512 1600 0.1 10 16 0.0227668 0.00227668
ppm_omp 100 512 3200 0.1 10 16 0.024919 0.0024919
ppm_omp 100 512 6400 0.1 10 16 0.0246949 0.00246949
ppm_omp 100 512 12800 0.1 10 16 0.0264258 0.00264258
ppm_omp 100 512 800 0.1 10 20 0.0283711 0.00283711
ppm_omp 100 512 1600 0.1 10 20 0.026675 0.0026675
ppm_omp 100 512 3200 0.1 10 20 0.025342 0.0025342
ppm_omp 100 512 6400 0.1 10 20 0.0263209 0.00263209
ppm_omp 100 512 12800 0.1 10 20 0.032053 0.0032053
ppm_omp 100 512 800 0.1 10 24 0.0305519 0.00305519
ppm_omp 100 512 1600 0.1 10 24 0.0277419 0.00277419
ppm_omp 100 512 3200 0.1 10 24 0.02953 0.002953
ppm_omp 100 512 6400 0.1 10 24 0.031214 0.0031214
ppm_omp 100 512 12800 0.1 10 24 0.0352058 0.00352058
ppm_omp 100 1024 800 0.1 10 1 0.220492 0.0220492
ppm_omp 100 1024 1600 0.1 10 1 0.224183 0.0224183
ppm_omp 100 1024 3200 0.1 10 1 0.221821 0.0221821
ppm_omp 100 1024 6400 0.1 10 1 0.225547 0.0225547
ppm_omp 100 1024 12800 0.1 10 1 0.225948 0.0225948
ppm_omp 100 1024 800 0.1 10 2 0.178668 0.0178668
ppm_omp 100 1024 1600 0.1 10 2 0.179751 0.0179751
ppm_omp 100 1024 3200 0.1 10 2 0.179014 0.0179014
ppm_omp 100 1024 6400 0.1 10 2 0.181814 0.0181814
ppm_omp 100 1024 12800 0.1 10 2 0.185614 0.0185614
ppm_omp 100 1024 800 0.1 10 3 0.141067 0.0141067
ppm_omp 100 1024 1600 0.1 10 3 0.137256 0.0137256
ppm_omp 100 1024 3200 0.1 10 3 0.137031 0.0137031
ppm_omp 100 1024 6400 0.1 10 3 0.140514 0.0140514
ppm_omp 100 1024 12800 0.1 10 3 0.142837 0.0142837
ppm_omp 100 1024 800 0.1 10 4 0.130124 0.0130124
ppm_omp 100 1024 1600 0.1 10 4 0.132208 0.0132208
ppm_omp 100 1024 3200 0.1 10 4 0.128626 0.0128626
ppm_omp 100 1024 6400 0.1 10 4 0.129217 0.0129217
ppm_omp 100 1024 12800 0.1 10 4 0.133953 0.0133953
ppm_omp 100 1024 800 0.1 10 5 0.131345 0.0131345
ppm_omp 100 1024 1600 0.1 10 5 0.124849 0.0124849
ppm_omp 100 1024 3200 0.1 10 5 0.124256 0.0124256
ppm_omp 100 1024 6400 0.1 10 5 0.127919 0.0127919
ppm_omp 100 1024 12800 0.1 10 5 0.126306 0.0126306
ppm_omp 100 1024 800 0.1 10 6 0.123621 0.0123621
ppm_omp 100 1024 1600 0.1 10 6 0.127638 0.0127638
ppm_omp 100 1024 3200 0.1 10 6 0.127435 0.0127435
ppm_omp 100 1024 6400 0.1 10 6 0.124324 0.0124324
ppm_omp 100 1024 12800 0.1 10 6 0.130668 0.0130668
ppm_omp 100 1024 800 0.1 10 7 0.122112 0.0122112
ppm_omp 100 1024 1600 0.1 10 7 0.125572 0.0125572
ppm_omp 100 1024 3200 0.1 10 7 0.1201 0.01201
ppm_omp 100 1024 6400 0.1 10 7 0.123986 0.0123986
ppm_omp 100 1024 12800 0.1 10 7 0.130718 0.0130718
ppm_omp 100 1024 800 0.1 10 8 0.122785 0.0122785
ppm_omp 100 1024 1600 0.1 10 8 0.125394 0.0125394
ppm_omp 100 1024 3200 0.1 10 8 0.122078 0.0122078
ppm_omp 100 1024 6400 0.1 10 8 0.118258 0.0118258
ppm_omp 100 1024 12800 0.1 10 8 0.118171 0.0118171
ppm_omp 100 1024 800 0.1 10 12 0.129873 0.0129873
ppm_omp 100 1024 1600 0.1 10 12 0.122074 0.0122074
ppm_omp 100 1024 3200 0.1 10 12 0.151059 0.0151059
ppm_omp 100 1024 6400 0.1 10 12 0.131624 0.0131624
ppm_omp 100 1024 12800 0.1 10 12 0.137693 0.0137693
ppm_omp 100 1024 800 0.1 10 16 0.12238 0.012238
ppm_omp 100 1024 1600 0.1 10 16 0.126492 0.0126492
ppm_omp 100 1024 3200 0.1 10 16 0.119864 0.0119864
ppm_omp 100 1024 6400 0.1 10 16 0.130229 0.0130229
