name L N N_p dt T num_threads total_time ave_time
ppm_omp_full 100 628 12800 0.1 100 7 2.79729 0.0279729
ppm_omp_full 100 669 800 0.1 100 8 7.33928 0.0733928
ppm_omp_full 100 669 1600 0.1 100 8 7.26661 0.0726661
ppm_omp_full 100 669 3200 0.1 100 8 7.4174 0.074174
ppm_omp_full 100 669 6400 0.1 100 8 7.52425 0.0752425
ppm_omp_full 100 669 12800 0.1 100 8 7.76878 0.0776878
ppm_omp_full 100 807 800 0.1 100 12 11.2889 0.112889
ppm_omp_full 100 807 1600 0.1 100 12 11.2865 0.112865
ppm_omp_full 100 807 3200 0.1 100 12 11.2373 0.112373
ppm_omp_full 100 807 6400 0.1 100 12 11.544 0.11544
ppm_omp_full 100 807 12800 0.1 100 12 11.5891 0.115891
ppm_omp_full 100 923 800 0.1 100 16 9.63792 0.0963792
ppm_omp_full 100 923 1600 0.1 100 16 11.4257 0.114257
ppm_omp_full 100 923 3200 0.1 100 16 11.8785 0.118785
ppm_omp_full 100 923 6400 0.1 100 16 11.7111 0.117111
ppm_omp_full 100 923 12800 0.1 100 16 14.1119 0.141119
ppm_omp_full 100 1024 800 0.1 100 20 3.02869 0.0302869
ppm_omp_full 100 1024 1600 0.1 100 20 2.80406 0.0280406
ppm_omp_full 100 1024 3200 0.1 100 20 2.64177 0.0264177
ppm_omp_full 100 1024 6400 0.1 100 20 2.69431 0.0269431
ppm_omp_full 100 1024 12800 0.1 100 20 2.88748 0.0288748
ppm_omp_full 100 1115 800 0.1 100 24 29.1403 0.291403
ppm_omp_full 100 1115 1600 0.1 100 24 30.1281 0.301281
ppm_omp_full 100 1115 3200 0.1 100 24 29.0928 0.290928
ppm_omp_full 100 1115 6400 0.1 100 24 29.5566 0.295566
ppm_omp_full 100 1115 12800 0.1 100 24 29.2898 0.292898
ppm_omp_partial 100 256 800 0.1 100 1 0.07974 0.0007974
ppm_omp_partial 100 256 1600 0.1 100 1 0.0805702 0.000805702
ppm_omp_partial 100 256 3200 0.1 100 1 0.0880151 0.000880151
ppm_omp_partial 100 256 6400 0.1 100 1 0.101929 0.00101929
ppm_omp_partial 100 256 12800 0.1 100 1 0.135025 0.00135025
ppm_omp_partial 100 352 800 0.1 100 2 0.213583 0.00213583
ppm_omp_partial 100 352 1600 0.1 100 2 0.251869 0.00251869
